VEHICLE_TYPE,no_injury_rate,injury_rate
4 dr sedan,0.7246376811594203,0.2753623188405797
Ambulance,0.9225352112676056,0.07746478873239436
Bike,0.19305019305019305,0.806949806949807
Box Truck,0.9230769230769231,0.07692307692307693
Bus,0.8535534816941852,0.1464465183058148
Carry All,0.9204545454545454,0.07954545454545454
Chassis Cab,0.921875,0.078125
Convertible,0.8055555555555556,0.19444444444444445
Dump,0.8884615384615384,0.11153846153846154
Flat Bed,0.9183673469387755,0.08163265306122448
Garbage or Refuse,0.9389312977099237,0.061068702290076333
Motorcycle,0.4718826405867971,0.5281173594132029
PK,0.8354430379746836,0.16455696202531644
Pick-up Truck,0.8613785136696188,0.1386214863303812
Refrigerated Van,0.9491525423728814,0.05084745762711865
Sedan,0.8115463115949072,0.18845368840509283
Station Wagon/Sport Utility Vehicle,0.8156158632581153,0.1843841367418847
Taxi,0.8287000264760391,0.1712999735239608
Tow Truck / Wrecker,0.8421052631578947,0.15789473684210525
Tractor Truck Diesel,0.9045161290322581,0.09548387096774194
Tractor Truck Gasoline,0.928,0.072
Van,0.8786346396965866,0.1213653603034134
